,original
1969,"@OfficialDMRC Light of station indication board is not working, at Delhi haat ina. https://t.co/WJLDdjqEYe"
1970,are we travelling for free in @OfficialDMRC!! why so much and irrational behaviour at frisking for people using metro services. Don't we have any work to do !! so if they have time..is our time penniless..?@PMOIndia @LtGovDelhi @AAPDelhi @UN_HRC @UNOCHA @UNHumanRights @UNOCHA
1983,@enwhizzlehizzle @ratl0vr @OfficialDMRC ok mam fixing 👩‍🚒👩‍🚒👩‍🚒🦹‍♀️🦹‍♀️🦹‍♀️🦹‍♀️🦹‍♀️
2024,@OfficialDMRC in yellow line at Rajiv chawk station train stand more than 10 mint...we delayed to go destination...pls take action
2026,"@OfficialDMRC coach - M1 A28
Route - Rithala - Dilshad Garden 
Please keep regular check of the coach ,coach was full with leakage of water from AC and passengers were facing trouble https://t.co/HY8fC2Bsje"
2031,"If Mumbai can, if Kochi Can, if Hyderabad and Pune can, why can't Delhi? It is important to have such facilities to provide first and last mile connectivity to the daily commuters. @OfficialDMRC @DDC_Delhi @PMOIndia @ashishkundra @ArvindKejriwal @LtGovDelhi @narendramodi https://t.co/jbdbsBhX0V"
2039,@OfficialDMRC Got refund now... Thankyou for your speedy action @OfficialDMRC
2041,"Noida Electronic City Platform No.1 Platform to Track Lock was found in open along with key in the lock, Kindly do the needful @OfficialDMRC https://t.co/kNKRDSxY56"
2046,@TheBigGeek @ArvindKejriwal @OfficialDMRC @DelhiPolice On one hand you want women equality and then you want special coaches for women… nice… 👏
2047,"While I am no urban-planning professional, I think that higher density housing around public transport (eg @OfficialDMRC's AIIMS station) is better for NCR’s biodiversity than saving trees in the city centre at the cost of sprawling out into our biodiverse hinterlands. n/n"
2054,"@GaganMakkar9821 @OfficialDMRC @dmrc plz get this coach cleaned as soon as possible. Green line
Coach no. M5B23 https://t.co/fhNWkUUspF"
2061,"@OfficialDMRC But is is getting used mostly for crossing road to approach metro station. I think it should be cleaned or maintain properly by some Dept. &amp; Delhi metro also should take the responsibility at some extend. 

@DelhiPwd"
2062,@dtptraffic @SDMC_Official @ArvindKejriwal @OfficialDMRC Thank you so much.. 🙏🏼
2064,@dtptraffic @SDMC_Official @ArvindKejriwal @OfficialDMRC This is near Chhatarpur Metro Station. Please look into this.. 🙏🏼
2066,"@iamkeshary @SDMC_Official @ArvindKejriwal @OfficialDMRC Thanks, kindly mention exact place."
2069,@OfficialDMRC Great
2070,@DrishtiSashakt @OfficialDMRC @ArvindKejriwal @DCP_DelhiMetro @smritiirani @AmitShah @HMOIndia @unwomenindia @UN @UNinIndia @PMOIndia @DeshKeMentor My experience with delhi metro has mostly been pleasant. It just gets uncomfortable at times when men sit in the women's coach since they don't know it's for women.
2077,"@OfficialDMRC I'm glad @OfficialDMRC taking commuters feedback seriously and working on it to inhance the entire system.
Kudos to @OfficialDMRC 👏👏 https://t.co/KNw1t4TDTd"
2083,@OfficialDMRC I had recharged online 4 my smart card. I had to go out of station for a while due to which I was not able to validate the recharge at avm. After 10 days I got a msg of refund n some charges were also deducted. I thought I had 30 days to validate? Check the ss. https://t.co/bf7hjzfZiH
2099,"@OfficialDMRC could you please give us the exact reason why there is always a station hold of around 10-15 minutes in pink line metro. You guys always say we apologise for your inconvenience, kindly give us the exact reason."
2100,".@OfficialDMRC Kashmiri Gate number 2 machine is not working..

Huge crowd standing ..

Security persons even not checking luggage properly...High Security Threat due to this ...

Plz Note @DCP_DelhiMetro @"
2101,"@kavita_krishnan @ShreyaDU_AISA @OfficialDMRC @DCP_DelhiMetro ""The Messenger of Allah [ﷺ] married me when I was six year’s old, and consummated the marriage with me when I was nine, and I used to play with dolls."" - Aisha [RA], in Sunan an-Nasa'i 3378; Vol. 4, Book 26, Hadith 3380."
2104,Dear @OfficialDMRC AC is switched off at Palam metro station platform area right now. Everyone is sweating like hell. People have to go to office or commute for other works. Kindly keep in mind with the current heatwave in ncr region.
2105,"But hands down, I was legit fascinated by the network and convenience of @OfficialDMRC. Such a large network with extremely organised and citizen friendly approach through the trains and the best, @OfficialDMRC app. Hats off."
2106,@OfficialDMRC @Abhi___Abhishek Finally a good decision
2107,"RT @saviour_era: @OfficialDMRC 
Must ask their free communters to first pay ticket price to travel and then ask for seats. 

Tax payers mon…"
2109,"@OfficialDMRC 
Must ask their free communters to first pay ticket price to travel and then ask for seats. 

Tax payers money abused.
Ticket payers rights abused.

#ShameDelhi https://t.co/45upYjS8gV https://t.co/yd96qqwUNS"
2111,"Every time I step into a Delhi Metro Station I'm amazed at the quality of infrastructure made and maintained by @delhimetro .Its non-pareil in every sense.
Proud every time
@OfficialDMRC https://t.co/33zsToLfV7"
2112,"@OfficialDMRC Is it advisable to take the metro from New Delhi to HUDA City Centre on a Tuesday morning, with reasonable luggage?
#DelhiMetro"
2115,RT @Manish_AFT: @Bharat06200468 @Riteshyogi459 @OfficialDMRC Exactly bro. For pick pocketing and robbery which is empowered women's main jo…
2116,"RT @Manish_AFT: Right to equality ki band bajati hui @OfficialDMRC 

They talk about Old people, hypocrites they don't know that YOUNG GIRL…"
2120,"In view of recurring incidences of breakdowns on various lines of DMRC to submit an investigation report within a week and remedial action taken to ensure seamless operations.
#delhimetro 

https://t.co/Ql3vxE8eKA"
2121,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2122,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2123,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2124,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2125,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2126,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2127,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2129,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2130,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
2131,"Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co/9uR2px2aze"
2132,"RT @Karan91N: Great Men of #India : #atalbiharivajpayee and #ElattuvalapilSreedharan 🇮🇳👍

#delhimetro #bjp #delhi #calcuttametro #mumbaimet…"
2133,"RT @Karan91N: Great Men of #India : #atalbiharivajpayee and #ElattuvalapilSreedharan 🇮🇳👍

#delhimetro #bjp #delhi #calcuttametro #mumbaimet…"
2134,"Why does this blue line suck?/.... Why is it hot inside metro... why isn't the ac working...damn!😩
#delhimetro @OfficialDMRC"
2135,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral, privatisation of telecom n insurance sector were his…"
2136,"RT @Karan91N: Greatest PM of India 🇮🇳🇮🇳 
Shri Atal Bihari Vajpayee 🙏🙏

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews  #…"
2137,"RT @Karan91N: Greatest PM of India 🇮🇳
Shri Atal Bihari Vajpayee 🙏

#bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews #NarendraModi #delhi…"
2138,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral, privatisation of telecom n insurance sector were his…"
2151,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2153,"Tell me some good places to hang out with,in Hudson lane delhi!
#DelhiRains #delhimetro #delhiweather #Delhi"
2157,"RT @Karan91N: Greatest PM of India 🇮🇳🇮🇳 
Shri Atal Bihari Vajpayee 🙏🙏

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews @w…"
2158,"RT @Karan91N: Greatest PM of India 🇮🇳🙏

Born : 25th December 1924

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews  #Nare…"
2160,"If you get your card recharged from customer care booth, you have to pay minimum Rs.200 but if you recharge the card using vending machine, the minimum you pay is Rs.100. @OfficialDMRC please kindly enlighten us what is the rationale behind this? #Delhimetro"
2162,"Koi poochhe agar Delhi Ncr mei hai kya aisa - Wide ass roads, good &amp; useful metro connectivity and people don't fucking drive ON THE FOOTPATH. 
#delhi #delhimetro #ncr #Pune #punemetro #punecity"
2165,"DMRC should officially declare space between ladies and normal compartment in Delhi Metro as ""Meet Up"" space for couples working at different locations on same line...

#delhimetro #Delhi #metro #DMRC #NewDelhi #Gurgaon"
2166,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2169,"Those transferring Goods from #Thiruvananthapuram via Career Dove Logistics, think twice. Am cheated, Not given documents including insurance. @GATIKWEIndia partner of Dove damaged my goods but taking no responsibility. @kaumudiofficial #delhimetro #Noida @GatikW @timesofindia https://t.co/eldHPYxw5W"
2170,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2171,"RT @Karan91N: Great projects of #Delhi 👍👌

#motinagar #kirtinagar #karampura #westdelhi #india #property #realestate #delhimetro #dlf #dlf5…"
2174,RT @Patriot_Delhi: The popularity of #DelhiMetro rests on its ability to help commuters travel in the comfort of AC. But some do break laws…
2178,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2181,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2182,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2184,"Only season that makes #Delhi a better place 😍😍

#Monsoon 
#DelhiMetro https://t.co/harH4pPqNN"
2185,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2187,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2188,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2190,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
2191,"Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp; their families held yoga sessions at Metro Enclave, Delhi Metro Rail Academy as well as other residential colonies.

#InternationalYogaDay2022
#DelhiMetro https://t.co/pW4HiA4Gq7"
2192,Our #DelhiMetro is much better than this 🤣🤣 https://t.co/9uFy9MEmDh
2213,RT @booksonthemetro: These books had waited for their pickers on multiple metro stations at DMRC this whole week. If you're the one who fou…
2218,"The popularity of #DelhiMetro rests on its ability to help commuters travel in the comfort of AC. But some do break laws, wittingly or unwittingly. @warasamar asks the @OfficialDMRC authorities about the rules most violated so far this year

@sanashakil21
https://t.co/NV0WPeFtaw"
2219,"These books had waited for their pickers on multiple metro stations at DMRC this whole week. If you're the one who found any, do let us know by tagging us 💜

#dropsoftheweek #drops #bookdrops #delhimetro #metro #hashtags #books #freebooks https://t.co/B68NSOqs0n"
2239,"The only worse thing than a crying baby on a super crowded metro is the deafening sound of 3-4 unkills playing their whatsapp media in full volume and holding it to their ears. Simultaneously

Headphones or don't touch your phones inside the metro

#DelhiMetro #Metro #MakeMeDeaf"
2244,"A reportefly short circuit happened in Metro at Mandi House. A blast like sound appear and this is the chaos.

#delhimetro https://t.co/WZHskU3hPM"
2245,"@AwanishSharan You can't believe how much 'class/status' discrimination and assholery goes on the metro. Have seen people offering seats to a 'nicely' dressed female or elderly. But many resist giving seats to female or elderly if they are not 'well dressed'.
A sad reality.
#delhimetro"
2248,"RT @Karan91N: Great movies which never won Filmfare Awards 👍👍

#kalapatthar #AmitabhBachchan #Bollywood #Dhanbad #yashchopra #prahaar #bomb…"
2250,"RT @Karan91N: Full moon Gurgaon ⚪⚪

#DLF #DLF5 #Gurgaon #Gurugram #India #sector53 #delhimetro #skyline #photography #Property #RealEstate…"
2266,"RT @Karan91N: Greatest PM of India 🇮🇳🇮🇳 
Shri Atal Bihari Vajpayee 🙏🙏

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews  #…"
2277,"RT @Karan91N: Great projects of #Delhi 👍👌

#motinagar #kirtinagar #karampura #westdelhi #india #property #realestate #delhimetro #dlf #dlf5…"
2289,"RT @latestly: Agnipath Recruitment Row: Aam Aadmi Party’s Student Wing, Others Protest at ITO Metro Station in Delhi
#AgnipathScheme #Agnip…"
2294,Sexual harassment in Delhi Metro Station | is public transport safe for ... https://t.co/Vkj5jR53tk via @YouTube #badtouch #delhimetro #aihra #aihraworks #humanrightsaihra #assult #physicalabuse #harassement #delhi #india #womens #UnitedNations
2295,Sexual harassment in Delhi Metro Station | is public transport safe for ... https://t.co/GtmW354k81 via @YouTube #badtouch #delhimetro #aihra #aihraworks #humanrightsaihra #assult #physicalabuse #harassement #delhi #india #womens #UnitedNations
2296,"#Excellent #design at #delhimetro

For changing to yellow line going towards #Gurgaon, you just have to follow yellow footsteps. 

They take you through 5 turns to reach the exact platform..

I didn't have to ask anyone. Could walk easily while texting

#awesome https://t.co/d13zQbHEI0"
2305,"RT @creatorsingh: The outside chaos needs inner calmness.
Life in a metro.
#delhimetro #Delhi https://t.co/j2t47OY61b"
2306,"The outside chaos needs inner calmness.
Life in a metro.
#delhimetro #Delhi https://t.co/j2t47OY61b"
2308,"RT @latestly: Agnipath Recruitment Row: Aam Aadmi Party’s Student Wing, Others Protest at ITO Metro Station in Delhi
#AgnipathScheme #Agnip…"
2314,"RT @latestly: Agnipath Recruitment Row: Aam Aadmi Party’s Student Wing, Others Protest at ITO Metro Station in Delhi
#AgnipathScheme #Agnip…"
2317,"RT @latestly: Agnipath Recruitment Row: Aam Aadmi Party’s Student Wing, Others Protest at ITO Metro Station in Delhi
#AgnipathScheme #Agnip…"
2322,"RT @latestly: Agnipath Recruitment Row: Aam Aadmi Party’s Student Wing, Others Protest at ITO Metro Station in Delhi
#AgnipathScheme #Agnip…"
2333,"MOJO On Ground | #DelhiMetro shut all gates of three metro stations in the city. The move came after protestors gathered at #ITO holding placards and raising slogans against the new #AgnipathRecruitmentScheme.

@_madanlal_ reports https://t.co/fWbVIJuKPI"
2366,"[Delhi Metro Update]

Delhi Metro to take action amid spike in covid cases in capital 
Read here: https://t.co/Z3TaPf84vP

#Commuters #Awareness #Covid #DDMA #DelhiMetro #DMRC #norms #MetroRailNews"
2379,"RT @iis_now: #DelhiMetro's social media communication has helped it share crucial information at the right time with the people, redress pu…"
2382,"#DelhiMetro's social media communication has helped it share crucial information at the right time with the people, redress public grievances, and also for branding: PRO, @officialDMRC  (2/2)

#IISTraining
#LetsMetro https://t.co/jZ9J4PjBhv"
2393,I see this young couple run towards the metro. The girl gets the seat and the guy stands there with his big bag. She signs to give him the bag. He refuses. She slightly slaps on his jeans. He laughingly gives it to her ? Did I just witness love ? #delhimetro
2425,"@harshmunshi @vegalord_ @Apple @tim_cook I use #samsungpay in #delhimetro as express transit, just like in #londonmetro, right from my watch. Its amazing."
2426,#DelhiMetro is the most comfortable mode of commuting. Perfect for chilling and taking short afternoon naps.
2437,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral,  privatisation of telecom n insurance sector were his…"
2438,"RT @Karan91N: Great Men of #India : #atalbiharivajpayee and #ElattuvalapilSreedharan 🇮🇳👍

#delhimetro #bjp #delhi #calcuttametro #mumbaimet…"
2439,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral,  privatisation of telecom n insurance sector were his…"
2443,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral,  privatisation of telecom n insurance sector were his…"
2444,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral,  privatisation of telecom n insurance sector were his…"
2446,"RT @Karan91N: Great Men of #India : #atalbiharivajpayee and #ElattuvalapilSreedharan 🇮🇳👍

#delhimetro #bjp #delhi #calcuttametro #mumbaimet…"
2453,"RT @OfficialDMRC: Contribution towards a Sustainable Environment!

DMRC being an environment conscious organization has always tried to con…"
2465,"RT @OfficialDMRC: Contribution towards a Sustainable Environment!

DMRC being an environment conscious organization has always tried to con…"
2472,"Dear @OfficialDMRC,

Request you to kindly increase the number of coaches reserved for women at least during peak hours.

There is hardly any space to stand for anyone during these office hours &amp; it's very uncomfortable for women to stand in between the crowd of men.

#delhimetro"
2475,"RT @aditya____b: One good habit #DelhiMetro has promoted is to hang bags in the front.

Chennai, over and above the crowded buses, we still…"
2477,"One good habit #DelhiMetro has promoted is to hang bags in the front.

Chennai, over and above the crowded buses, we still have a long way to go. https://t.co/z9pdbb4JSz"
2482,"My mobile got stolen yesterday at Kashmere Gate metro station at around 5:45. It was Oneplus 7T and had below cover. If found I'm willing to pay more than the value of the phone. Kindly get in touch.
#delhimetro #Delhi @DelhiPolice @DCPSEastDelhi @ArvindKejriwal https://t.co/Y7S5RU4SnU"
2484,"My phone got stolen today at Kashmere Gate metro station at around 5:45. It was Oneplus 7T and had below cover. If found I'm willing to pay more than the value of the phone. Kindly get in touch.
#delhimetro #Delhi @DelhiPolice @DCPSEastDelhi https://t.co/VHz0LHdWhi"
2492,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2493,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2494,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2498,"#dmrc #ArvindKejriwal #delhimetro@officialDMRC

Kindly arrange sunsheds and water dispensers if you cant replace bag checking machines @ Shahdara Metro Station

Long lines in morning peak hours are a daily affair now since last week."
2499,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2500,"RT @Karan91N: Best metro of India 🇮🇳👍👌

#gurgaon #delhi #delhimetro #rapidmetro #noida #pune #mumbai #bombay #kashmir #jammu #Chandigarh #p…"
2502,"RT @Karan91N: Best metro of India 🇮🇳👍👌

#gurgaon #delhi #delhimetro #rapidmetro #noida #pune #mumbai #bombay #kashmir #jammu #Chandigarh #p…"
2506,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2508,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2510,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2512,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2514,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2516,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2522,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2523,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2524,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2525,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2526,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2527,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2528,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
2529,"Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking, fine by #delhimetro for people travelling without #Mask. 😷
@HardeepSPuri @MoHUA_India @RailMinIndia @DMRC_FansClub @teekhi_mircheee https://t.co/t0a2wV3zaf"
2530,#delhimetro is the right way to travel in delhi metro. Can you please look into it and rectify. Train from kashmirigate to nahar singh. https://t.co/DelAu6JpJi
2542,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral, privatisation of telecom n insurance sector were his…"
2545,"RT @Karan91N: Kashmir railway a national project, #Delhimetro , golden quadrilateral, privatisation of telecom n insurance sector were his…"
2547,"RT @Karan91N: Greatest PM of India 🇮🇳🇮🇳 
Shri Atal Bihari Vajpayee 🙏🙏

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews  #…"
2548,"RT @Karan91N: Greatest PM of India 🇮🇳🇮🇳 
Shri Atal Bihari Vajpayee 🙏🙏

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews @w…"
2549,"RT @Karan91N: Greatest PM of India 🇮🇳🙏

Born : 25th December 1924

@narendramodi #bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews  #Nare…"
2550,"RT @Karan91N: Greatest PM of India 🇮🇳
Shri Atal Bihari Vajpayee 🙏

#bjp #AtalBihariVajpayee #ataltunnel #wion @WIONews #NarendraModi #delhi…"
2556,"Queue in Delhi Metro Station on daily basis.. 
Dwarka More Metro Station 25 min to 30 min entry timing. 
Plz look into the same on high priority basis.... 
#delhimetro #Dwarkamoremetrostation #delhimetro https://t.co/hMpzARTavw"
2559,"Delhi waale mutuals k liye.
I remember my FIL talking abt 
Dr. Shridharan,
The Metro Man, with such fondness &amp; pride in his voice.
Metro is d backbone of Delhi right now. In today's time we can't think abt it nt working or nt being there, that 2 with such efficiency.
#delhimetro https://t.co/mdoMV0A85e"
2560,"@OfficialDMRC Is it advisable to take the metro from New Delhi to HUDA City Centre on a Tuesday morning, with reasonable luggage?
#DelhiMetro"
2564,"Hello @OfficialDMRC 
Lots of my friends (unemployed students) are facing the issue regarding parking, they're always deducted fees for 12hr instead of actual hrs they parked(near about 6.40hrs)
So our humble request it to please introduce some new schemes for students too.#DMRC"
2565,"Hello @OfficialDMRC
Lots of my friends (unemployed students) are facing the issue regarding parking, they're always deducted fees for 12hr instead of actual hrs they parked.
So our humble request it to please introduce some new schemes for students too.
#DMRC"
2566,"Hello @OfficialDMRC
I'm a student and facing a problem regarding parking charges. I daily park my scooty at majlis park station and returns there after 6.3hrs and they always deduct parking fees for 12hrs. My request is to introduce some new parking schemes for students.
#DMRC"
2569,"DMRC should officially declare space between ladies and normal compartment in Delhi Metro as ""Meet Up"" space for couples working at different locations on same line...

#delhimetro #Delhi #metro #DMRC #NewDelhi #Gurgaon"
2575,#DMRC  Sir please clean it.. M 7D030 https://t.co/Jk6MPZ2BnQ
2580,"RT @ut_MoHUA: Taking action in the interest of commuters to ensure their hassle-free movement, #DMRC is planning to carry Multimodal Integr…"
2590,"RT @abplive: #BreakingNews LIVE: #DMRC Shuts Delhi Gate &amp; Jama Masjid's #Metro Station Gate Amid #Agnipath Protests

Read More At: https://…"
2592,"RT @abplive: #BreakingNews LIVE: #DMRC Shuts Delhi Gate &amp; Jama Masjid's #Metro Station Gate Amid #Agnipath Protests

Read More At: https://…"
2597,"#BreakingNews LIVE: #DMRC Shuts Delhi Gate &amp; Jama Masjid's #Metro Station Gate Amid #Agnipath Protests

Read More At: https://t.co/FehkpQ0hYu https://t.co/f9KDXe3KdN"
2598,"[Delhi Metro Update]

Delhi Metro to take action amid spike in covid cases in capital 
Read here: https://t.co/Z3TaPf84vP

#Commuters #Awareness #Covid #DDMA #DelhiMetro #DMRC #norms #MetroRailNews"
2615,"@Infra_VinayakCh we need to fix a single interoperable smart fare card , for seamless transit  experience across #NMRC,#DMRC,#RRTS, #IR,#JEWARCONNECTIVITY,#DTC,#haryana roadways,#UP road ways."
2620,"Kindly check the ac Coach No -M2A03.

@OfficialDMRC 

@ArvindKejriwal 
@msisodia 
#DMRC"
2621,"RT @ut_MoHUA: Taking action in the interest of commuters to ensure their hassle-free movement, #DMRC is planning to carry Multimodal Integr…"
2624,"#dmrc #ArvindKejriwal #delhimetro@officialDMRC

Kindly arrange sunsheds and water dispensers if you cant replace bag checking machines @ Shahdara Metro Station

Long lines in morning peak hours are a daily affair now since last week."
2630,"@metro_india @ArvindMedi  @metro_india 
Pls sir take action. No authority listening about this matter
No reply by your customer care services"
2631,"@ArvindMedi 
Sir. Many time Complain done. No action about products stealing by Delivery person or during transportation
Ur@jaipur store
Pls do something
No. One listening"
2636,"@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary These are plastic spikes that are not at all harmful to birds. Also birds know better to go sit elsewhere, there’s plenty of space for them around. The management is just protecting the crucial electronics and electricals, as well as our heads from receiving their droppings."
2637,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2643,"First we cut the trees and now spikes in these places where they come and stay. @Adityakripa @sukritic1 @_AnimalAdvocate @SENTHILSSK1982 @DCP_DelhiMetro @MyDelhiMetro #inhumanity
#StopAnimalCruelty https://t.co/tZX6fObZbd"
2644,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2645,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2646,@DelhiPolice @DCP_DelhiMetro Good old Neighbourhood Watch Scheme still holds good. It should be revived with Eyes &amp; Ears scheme..
2648,"@OfficeofAK9 @OfficialDMRC @DCP_DelhiMetro @dcprohinidelhi @HardeepSPuri @MoHUA_India @Gupta_vijender @LtGovDelhi Thanks, area traffic officer has been informed to take necessary action."
2650,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2654,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2655,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2657,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2659,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2661,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
2662,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
